Entity,Code,Year,Fertility_Rate,Continent,GDP,Religion,Sex_Ratio
Afghanistan,AFG,1950,7.57,Asia,1156.0,Islam,105.18894399999999
Afghanistan,AFG,1951,7.56,Asia,1170.0,Islam,105.19315559999998
Afghanistan,AFG,1952,7.55,Asia,1189.0,Islam,105.18402140000002
Afghanistan,AFG,1953,7.54,Asia,1240.0,Islam,105.1810664
Afghanistan,AFG,1954,7.53,Asia,1245.0,Islam,105.19290330000001
Afghanistan,AFG,1955,7.52,Asia,1246.0,Islam,105.1870723
Afghanistan,AFG,1956,7.51,Asia,1278.0,Islam,105.1920088
Afghanistan,AFG,1957,7.49,Asia,1253.0,Islam,105.1895825
Afghanistan,AFG,1958,7.48,Asia,1298.0,Islam,105.18521809999999
Afghanistan,AFG,1959,7.46,Asia,1307.0,Islam,105.17129479999998
Afghanistan,AFG,1960,7.45,Asia,1326.0,Islam,105.2050617
Afghanistan,AFG,1961,7.45,Asia,1309.0,Islam,105.1988855
Afghanistan,AFG,1962,7.45,Asia,1302.0,Islam,105.19305940000001
Afghanistan,AFG,1963,7.45,Asia,1298.0,Islam,105.20973329999998
Afghanistan,AFG,1964,7.45,Asia,1291.0,Islam,105.20134479999999
Afghanistan,AFG,1965,7.45,Asia,1290.0,Islam,105.1952813
Afghanistan,AFG,1966,7.45,Asia,1272.0,Islam,105.1975199
Afghanistan,AFG,1967,7.45,Asia,1277.0,Islam,105.20234850000001
Afghanistan,AFG,1968,7.45,Asia,1290.0,Islam,105.1973902
Afghanistan,AFG,1969,7.45,Asia,1278.0,Islam,105.2097456
Afghanistan,AFG,1970,7.45,Asia,1272.0,Islam,105.2313274
Afghanistan,AFG,1971,7.45,Asia,1237.0,Islam,105.2413229
Afghanistan,AFG,1972,7.45,Asia,1007.0,Islam,105.24584640000002
Afghanistan,AFG,1973,7.45,Asia,1011.0,Islam,105.25025590000001
Afghanistan,AFG,1974,7.45,Asia,1039.0,Islam,105.26784280000001
Afghanistan,AFG,1975,7.45,Asia,1074.0,Islam,105.2838071
Afghanistan,AFG,1976,7.45,Asia,1105.0,Islam,105.31255459999998
Afghanistan,AFG,1977,7.45,Asia,1022.0,Islam,105.3334908
Afghanistan,AFG,1978,7.45,Asia,1070.0,Islam,105.3514689
Afghanistan,AFG,1979,7.45,Asia,1023.0,Islam,105.38416129999999
Afghanistan,AFG,1980,7.45,Asia,1019.0,Islam,105.4021511
Afghanistan,AFG,1981,7.45,Asia,1144.0,Islam,105.44352340000002
Afghanistan,AFG,1982,7.45,Asia,1270.0,Islam,105.4685997
Afghanistan,AFG,1983,7.45,Asia,1347.0,Islam,105.50078959999999
Afghanistan,AFG,1984,7.46,Asia,1337.0,Islam,105.51988659999999
Afghanistan,AFG,1985,7.46,Asia,1304.0,Islam,105.5820767
Afghanistan,AFG,1986,7.46,Asia,1344.0,Islam,105.64394920000001
Afghanistan,AFG,1987,7.46,Asia,1211.0,Islam,105.70415279999999
Afghanistan,AFG,1988,7.46,Asia,1101.0,Islam,105.7641358
Afghanistan,AFG,1989,7.46,Asia,999.0,Islam,105.8320625
Afghanistan,AFG,1990,7.47,Asia,963.0,Islam,105.915783
